Primary Key,Incident Number,Report Type,Report Type Description,Incident Status Code,Incident Status Description,Investigation Status,Incident Occurred,Incident Reported,Incident Location,ZIP,RPA,Zone,Location Code,Location Description,Offense Number,Offense NIBRS,Offense Description,Weapon Primary,Weapon Description,Victim Number,Domestic Related,Victim Type,Victim Description,Victim Gender,Victim Race,Victim Ethnicity,Victim County Resident,Latitude,Longitude,Mapped Location,grid
20180831914_11,20180831914,D,DISPATCHED,O,OPEN,Open,9/30/2018 19:00,10/1/2018 5:31,RIVERWAY DR,,,,22,"RESIDENCE, HOME",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,No,I,INDIVIDUAL (18 AND OVER),F,P,Non-Hispanic,RESIDENT,36.25,-86.66,"(36.25, -86.66)",2727
20180824349_12,20180824349,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,9/27/2018 16:51,9/27/2018 19:11,200 HICKORY TRACE DR,37211,8655,835,90,APARTMENT,1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),2,Yes,I,INDIVIDUAL (18 AND OVER),F,A,Non-Hispanic,RESIDENT,36.045,-86.719,"(36.045, -86.719)",2305
20180831191_11,20180831191,D,DISPATCHED,O,OPEN,Open,9/25/2018 0:00,9/30/2018 15:34,THISTLEWOOD AVE,,,,22,"RESIDENCE, HOME",1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,1,No,I,INDIVIDUAL (18 AND OVER),M,W,Hispanic,RESIDENT,36.2,-86.72,"(36.2, -86.72)",2278
20180826325_11,20180826325,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,5/19/2018 8:00,9/28/2018 0:41,5200 EATONS CREEK RD,37218,3213,627,22,"RESIDENCE, HOME",1,13A,"Assault, Aggravated - Deadly Weapon - Int/Kn",6,LETHAL/CUTTING INSTRUMENT,1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Unknown,RESIDENT,36.259,-86.887,"(36.259, -86.887)",881
20180828838_11,20180828838,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,9/29/2018 11:49,9/29/2018 11:49,100 ARCHWOOD PL,37115,1705,715,22,"RESIDENCE, HOME",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.265,-86.685,"(36.265, -86.685)",2553
20180824611_11,20180824611,D,DISPATCHED,O,OPEN,Open,9/27/2018 20:08,9/27/2018 20:56,MEADOW RD,,,,22,"RESIDENCE, HOME",1,13B,ASSAULT- OFFENSIVE OR PROVOCATIVE CONTACT,9,PERSONAL (HANDS),1,No,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.21,-86.84,"(36.21, -86.84)",1240
20180823743_11,20180823743,D,DISPATCHED,O,OPEN,Open,9/27/2018 13:20,9/27/2018 13:57,JEFFERSON ST,,,,8,"DEPARTMENT, DISCOUNT STORE",1,13A,AGGRAV ASSLT - NONFAMILY-WEAPON,7,CLUB,1,No,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.17,-86.8,"(36.17, -86.8)",1580
20180830740_21,20180830740,D,DISPATCHED,A,CLEARED BY ARREST,Closed,9/30/2018 9:00,9/30/2018 9:30,200 MCARTHUR DR,37115,1713,715,22,"RESIDENCE, HOME",2,13C,ASSAULT- FEAR OF BODILY INJURY,9,PERSONAL (HANDS),1,No,I,INDIVIDUAL (18 AND OVER),M,W,Hispanic,RESIDENT,36.267,-86.691,"(36.267, -86.691)",2496
20180826884_12,20180826884,D,DISPATCHED,A,CLEARED BY ARREST,Closed,9/28/2018 15:30,9/28/2018 18:16,400 CHARLOTTE AVE,37219,4203,411,1,"AIR, BUS, TRAIN TERMINAL",1,13B,ASSAULT OF OFFICER - BODILY INJURY,9,PERSONAL (HANDS),2,No,P,POLICE OFFICER,M,W,Non-Hispanic,RESIDENT,36.166,-86.781,"(36.166, -86.781)",1701
20180829227_11,20180829227,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,9/29/2018 0:15,9/29/2018 17:28,600 OLD HICKORY BLVD,37209,4711,123,22,"RESIDENCE, HOME",1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,1,Yes,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,RESIDENT,36.113,-86.923,"(36.113, -86.923)",610
20180825519_11,20180825519,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,9/28/2018 3:45,9/28/2018 5:12,16TH AVE N & HERMAN ST,37208,5419,615,20,"PARKING LOT, GARAGE",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.165,-86.8,"(36.165, -86.8)",1580
20180831123_11,20180831123,D,DISPATCHED,A,CLEARED BY ARREST,Closed,9/28/2018 0:00,9/30/2018 14:41,700 25TH AVE N,37208,5317,615,22,"RESIDENCE, HOME",1,13B,ASSAULT- OFFENSIVE OR PROVOCATIVE CONTACT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.16,-86.814,"(36.16, -86.814)",1469
20180830055_11,20180830055,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,9/29/2018 21:00,9/30/2018 6:09,3400 COUNTRY WAY RD,37013,8975,335,22,"RESIDENCE, HOME",1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,1,No,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.076,-86.603,"(36.076, -86.603)",3161
20180824683_11,20180824683,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,9/27/2018 19:30,9/27/2018 20:59,2900 LYNDALE DR,37207,1825,223,13,"HIGHWAY, ROAD, ALLEY",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.226,-86.772,"(36.226, -86.772)",1817
20180829928_11,20180829928,D,DISPATCHED,O,OPEN,Open,9/29/2018 22:50,9/30/2018 1:29,PROVIDENCE PARK LN,,,,22,"RESIDENCE, HOME",1,13A,AGGRAV ASSLT - NONFAMILY-GUN,2,RIFLE,1,No,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.09,-86.71,"(36.09, -86.71)",2355
20180826547_11,20180826547,D,DISPATCHED,O,OPEN,Open,9/28/2018 0:10,9/28/2018 0:50,6TH AVE S,,,,28,"OTHER, UNKNOWN",1,13B,SIMPLE ASSLT,15,OTHER,1,No,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,NON RESIDENT,36.15,-86.78,"(36.15, -86.78)",1767
20180824530_12,20180824530,D,DISPATCHED,O,OPEN,Open,9/27/2018 19:00,9/27/2018 19:52,17TH AVE N,,,,13,"HIGHWAY, ROAD, ALLEY",1,13A,AGGRAV ASSLT - NONFAMILY-WEAPON,7,CLUB,2,No,I,INDIVIDUAL (18 AND OVER),M,B,Non-Hispanic,RESIDENT,36.16,-86.8,"(36.16, -86.8)",1581
20180829795_11,20180829795,D,DISPATCHED,A,CLEARED BY ARREST,Closed,9/29/2018 22:00,9/30/2018 15:09,400 11TH AVE S,37203,4017,423,14,"HOTEL, MOTEL, ETC.",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,No,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,NON RESIDENT,36.153,-86.784,"(36.153, -86.784)",1704
20180829844_11,20180829844,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,9/29/2018 21:30,9/29/2018 23:47,1300 BRICK CHURCH PIKE,37207,3007,621,22,"RESIDENCE, HOME",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Hispanic,RESIDENT,36.201,-86.777,"(36.201, -86.777)",1758
20180832325_11,20180832325,D,DISPATCHED,A,CLEARED BY ARREST,Closed,10/1/2018 4:00,10/1/2018 6:15,2700 WHITES CREEK PIKE,37207,3047,621,13,"HIGHWAY, ROAD, ALLEY",1,13A,"Assault, Aggravated - Deadly Weapon - Int/Kn",8,MOTOR VEHICLE,1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.22,-86.804,"(36.22, -86.804)",1515
20180831548_11,20180831548,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,9/30/2018 18:26,9/30/2018 21:26,100 RYBURN DR,37138,9609,525,22,"RESIDENCE, HOME",1,13B,ASSAULT- OFFENSIVE OR PROVOCATIVE CONTACT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,RESIDENT,36.253,-86.651,"(36.253, -86.651)",2838
20180829124_12,20180829124,D,DISPATCHED,O,OPEN,Open,9/29/2018 14:30,9/29/2018 15:24,HAMILTON CHURCH RD,,,,20,"PARKING LOT, GARAGE",1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,2,No,I,INDIVIDUAL (18 AND OVER),M,W,Hispanic,NON RESIDENT,36.06,-86.63,"(36.06, -86.63)",2971
20180830547_11,20180830547,S,SUSPECT,R,REFUSED TO COOPERATE,Closed,9/20/2018 7:31,9/30/2018 7:31,3800 NOLENSVILLE PIKE,37211,8415,317,3,"BAR, NIGHT CLUB",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),M,W,Hispanic,UNKNOWN,36.089,-86.732,"(36.089, -86.732)",2173
20180830816_11,20180830816,D,DISPATCHED,O,OPEN,Open,9/30/2018 9:43,9/30/2018 10:41,JEFFERSON ST,,,,13,"HIGHWAY, ROAD, ALLEY",1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,1,No,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.17,-86.79,"(36.17, -86.79)",1639
20180827144_11,20180827144,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,9/28/2018 17:15,9/28/2018 20:05,5900 HIGDON RD,37080,3339,627,22,"RESIDENCE, HOME",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.279,-86.951,"(36.279, -86.951)",389
20180829319_11,20180829319,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,9/29/2018 16:37,9/29/2018 17:32,300 BURNING TREE DR,37076,9557,523,90,APARTMENT,1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),M,B,Non-Hispanic,RESIDENT,36.174,-86.601,"(36.174, -86.601)",3187
20180827562_11,20180827562,D,DISPATCHED,A,CLEARED BY ARREST,Closed,9/28/2018 20:15,9/28/2018 22:18,400 KOTHE WAY,37013,8979,335,22,"RESIDENCE, HOME",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),M,B,Non-Hispanic,RESIDENT,36.073,-86.631,"(36.073, -86.631)",2968
20180831916_31,20180831916,D,DISPATCHED,A,CLEARED BY ARREST,Closed,9/30/2018 22:17,10/1/2018 3:54,800 WINTHORNE CT,37217,8811,315,22,"RESIDENCE, HOME",3,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),M,W,Hispanic,RESIDENT,36.122,-86.71,"(36.122, -86.71)",2350
20180828031_25,20180828031,D,DISPATCHED,A,CLEARED BY ARREST,Closed,9/29/2018 0:01,9/29/2018 3:59,300 BROADWAY,37201,4093,421,3,"BAR, NIGHT CLUB",2,13B,ASSAULT- OFFENSIVE OR PROVOCATIVE CONTACT,9,PERSONAL (HANDS),5,No,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,NON RESIDENT,36.161,-86.776,"(36.161, -86.776)",1765
20180831096_11,20180831096,O,,R,REFUSED TO COOPERATE,Closed,9/30/2018 13:30,9/30/2018 14:17,0 TITANS WAY,37213,1101,413,39,Arena/Stadium/Fairgrounds/Coliseum,1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,No,I,INDIVIDUAL (18 AND OVER),M,B,Non-Hispanic,RESIDENT,36.165,-86.769,"(36.165, -86.769)",1827
20180829286_11,20180829286,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,9/27/2018 8:35,9/29/2018 17:15,600 OLD HICKORY BLVD,37209,4711,123,22,"RESIDENCE, HOME",1,13B,SIMPLE ASSLT,15,OTHER,1,Yes,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,RESIDENT,36.113,-86.923,"(36.113, -86.923)",610
20180823700_11,20180823700,S,SUSPECT,O,OPEN,Open,8/18/2018 13:00,9/27/2018 13:57,FAIRFAX AVE,,,,90,APARTMENT,1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,1,No,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,RESIDENT,36.13,-86.8,"(36.13, -86.8)",1586
20180830184_11,20180830184,D,DISPATCHED,A,CLEARED BY ARREST,Closed,9/30/2018 2:30,9/30/2018 3:21,3600 VILLAGE TRL,37207,2027,721,22,"RESIDENCE, HOME",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.247,-86.775,"(36.247, -86.775)",1750
20180824025_11,20180824025,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,8/26/2018 22:30,9/27/2018 16:29,800 NEELYS BEND RD,37115,1629,713,22,"RESIDENCE, HOME",1,13B,ASSAULT- OFFENSIVE OR PROVOCATIVE CONTACT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.252,-86.694,"(36.252, -86.694)",2498
20180824999_11,20180824999,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,9/27/2018 22:15,9/27/2018 23:32,1100 LISCHEY PL,37207,1981,221,22,"RESIDENCE, HOME",1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,1,Yes,I,INDIVIDUAL (18 AND OVER),M,B,Non-Hispanic,RESIDENT,36.177,-86.767,"(36.177, -86.767)",1825
20180826173_11,20180826173,O,,O,OPEN,Open,9/25/2018 9:45,10/2/2018 0:11,BELL RD,,,,53,School-Elementary/Secondary,1,13A,INTENTIONAL AGGRAVATED ASSAULT,8,MOTOR VEHICLE,1,No,I,INDIVIDUAL (18 AND OVER),F,B,Unknown,UNKNOWN,36.08,-86.63,"(36.08, -86.63)",2967
20180829113_11,20180829113,D,DISPATCHED,O,OPEN,Open,9/29/2018 0:00,9/29/2018 22:37,WEST END AVE,,,,22,"RESIDENCE, HOME",1,13B,SIMPLE ASSLT,15,OTHER,1,No,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.15,-86.81,"(36.15, -86.81)",1471
20180827328_11,20180827328,D,DISPATCHED,O,OPEN,Open,9/28/2018 19:25,9/28/2018 19:34,ENCHANTED CIR,,,,13,"HIGHWAY, ROAD, ALLEY",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,No,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,NON RESIDENT,36.21,-86.86,"(36.21, -86.86)",1066
20180827859_12,20180827859,D,DISPATCHED,A,CLEARED BY ARREST,Closed,9/28/2018 22:30,9/29/2018 0:18,300,37201,4093,421,3,"BAR, NIGHT CLUB",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),2,No,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,NON RESIDENT,36.162,-86.776,"(36.162, -86.776)",1765
20180828723_22,20180828723,D,DISPATCHED,O,OPEN,Open,9/28/2018 18:00,9/29/2018 9:58,MCGAVOCK PIKE,,,,14,"HOTEL, MOTEL, ETC.",2,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,2,No,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,RESIDENT,36.14,-86.68,"(36.14, -86.68)",2633
20180827663_31,20180827663,D,DISPATCHED,O,OPEN,Open,9/28/2018 21:03,9/28/2018 22:51,31ST AVE N,,,,22,"RESIDENCE, HOME",3,13A,INTENTIONAL AGGRAVATED ASSAULT,1,HANDGUN,1,No,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.16,-86.82,"(36.16, -86.82)",1414
20180826610_11,20180826610,D,DISPATCHED,A,CLEARED BY ARREST,Closed,9/28/2018 13:15,9/28/2018 14:54,8TH AVE S & CHESTNUT ST,37203,6811,821,13,"HIGHWAY, ROAD, ALLEY",1,13A,"Assault, Aggravated - Deadly Weapon - Int/Kn",8,MOTOR VEHICLE,1,Yes,I,INDIVIDUAL (18 AND OVER),M,B,Non-Hispanic,UNKNOWN,36.142,-86.779,"(36.142, -86.779)",1768
20180830852_11,20180830852,D,DISPATCHED,A,CLEARED BY ARREST,Closed,9/20/2018 1:00,9/30/2018 14:06,8000 BIENVILLE DR,37211,8759,331,90,APARTMENT,1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.022,-86.71,"(36.022, -86.71)",2367
20180825533_11,20180825533,D,DISPATCHED,A,CLEARED BY ARREST,Closed,9/28/2018 4:00,9/28/2018 4:41,400 BROADWAY,37203,4107,421,13,"HIGHWAY, ROAD, ALLEY",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,NON RESIDENT,36.161,-86.777,"(36.161, -86.777)",1765
20180828262_11,20180828262,D,DISPATCHED,A,CLEARED BY ARREST,Closed,9/29/2018 2:00,9/29/2018 4:10,1700 NASSAU ST,37208,4349,617,22,"RESIDENCE, HOME",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,RESIDENT,36.18,-86.798,"(36.18, -86.798)",1578
20180827724_11,20180827724,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,9/28/2018 21:27,9/28/2018 22:27,2700 MURFREESBORO PIKE,37013,8979,335,14,"HOTEL, MOTEL, ETC.",1,13A,INTENTIONAL AGGRAVATED ASSAULT,6,LETHAL/CUTTING INSTRUMENT,1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.071,-86.635,"(36.071, -86.635)",2969
20180826816_11,20180826816,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,9/27/2018 17:00,9/28/2018 16:01,2500 LAKELAND DR,37214,9105,517,52,School-College/University,1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.155,-86.681,"(36.155, -86.681)",2572
20180830539_11,20180830539,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,9/30/2018 3:30,9/30/2018 9:42,2400 BRICK CHURCH PIKE,37207,3021,621,14,"HOTEL, MOTEL, ETC.",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,No,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,NON RESIDENT,36.209,-86.778,"(36.209, -86.778)",1757
20180841916_11,20180841916,D,DISPATCHED,O,OPEN,Open,10/4/2018 8:00,10/4/2018 11:22,LUTON ST,,,,22,"RESIDENCE, HOME",1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,1,Yes,I,INDIVIDUAL (18 AND OVER),M,B,Non-Hispanic,RESIDENT,36.2,-86.77,"(36.2, -86.77)",1821
20180840917_11,20180840917,D,DISPATCHED,A,CLEARED BY ARREST,Closed,10/3/2018 23:25,10/4/2018 0:18,700 DICKERSON PIKE,37207,1963,221,7,CONVENIENCE STORE,1,13A,"Assault, Aggravated - Deadly Weapon - Int/Kn",6,LETHAL/CUTTING INSTRUMENT,1,No,I,INDIVIDUAL (18 AND OVER),M,B,Non-Hispanic,RESIDENT,36.183,-86.774,"(36.183, -86.774)",1761
20180834059_11,20180834059,D,DISPATCHED,O,OPEN,Open,10/1/2018 17:48,10/1/2018 18:14,WHITES CREEK PIKE,,,,20,"PARKING LOT, GARAGE",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,No,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.22,-86.8,"(36.22, -86.8)",1571
20180837016_11,20180837016,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,10/2/2018 17:40,10/2/2018 20:00,1000 CANNON ST,37210,8209,511,90,APARTMENT,1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.151,-86.758,"(36.151, -86.758)",1962
20180834516_12,20180834516,S,SUSPECT,O,OPEN,Open,10/1/2018 22:00,10/1/2018 23:04,1ST AVE S,,,,13,"HIGHWAY, ROAD, ALLEY",1,13A,"Assault, 1st Responder Agg - Serious Injury - Int/Kn",8,MOTOR VEHICLE,2,No,P,POLICE OFFICER,M,W,Non-Hispanic,RESIDENT,36.15,-86.77,"(36.15, -86.77)",1830
20180835871_11,20180835871,D,DISPATCHED,O,OPEN,Open,10/2/2018 8:00,10/2/2018 11:21,HARPETH TRACE DR,,,,50,Park/Playground,1,13A,INTENTIONAL AGGRAVATED ASSAULT,6,LETHAL/CUTTING INSTRUMENT,1,No,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,NON RESIDENT,36.07,-86.9,"(36.07, -86.9)",795
20180841218_11,20180841218,D,DISPATCHED,O,OPEN,Open,10/4/2018 2:35,10/4/2018 3:34,MACAULEY LN,,,,22,"RESIDENCE, HOME",1,13A,AGGRAV ASSLT - NONFAMILY-WEAPON,1,HANDGUN,1,No,I,INDIVIDUAL (18 AND OVER),M,W,Unknown,RESIDENT,35.99,-86.67,"(35.99, -86.67)",2716
20180833847_11,20180833847,D,DISPATCHED,O,OPEN,Open,9/9/2018 11:00,10/1/2018 17:41,3RD AVE N,,,,20,"PARKING LOT, GARAGE",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,No,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.17,-86.78,"(36.17, -86.78)",1764
20180839838_11,20180839838,D,DISPATCHED,O,OPEN,Open,10/3/2018 15:30,10/3/2018 16:48,FOREST PARK RD,,,,20,"PARKING LOT, GARAGE",1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,1,No,I,INDIVIDUAL (18 AND OVER),F,A,Non-Hispanic,RESIDENT,36.26,-86.7,"(36.26, -86.7)",2441
20180833956_12,20180833956,D,DISPATCHED,O,OPEN,Open,10/1/2018 15:30,10/1/2018 17:34,CLARKSVILLE PIKE,,,,12,"GROCERY, SUPERMARKET",1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,2,No,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,NON RESIDENT,36.18,-86.82,"(36.18, -86.82)",1411
20180840817_11,20180840817,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,10/3/2018 22:54,10/3/2018 23:18,4000 ALAMEDA ST,37209,4531,111,22,"RESIDENCE, HOME",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.159,-86.834,"(36.159, -86.834)",1304
20180840041_11,20180840041,D,DISPATCHED,O,OPEN,Open,10/3/2018 17:00,10/3/2018 18:32,DELLWAY VILLA RD,,,,90,APARTMENT,1,13B,SIMPLE ASSLT,15,OTHER,1,No,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.21,-86.76,"(36.21, -86.76)",1885
20180838605_11,20180838605,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,10/3/2018 7:30,10/3/2018 8:30,900 E OLD HICKORY BLVD,37115,1705,715,21,RENTAL STORAGE FACILITY,1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.263,-86.69,"(36.263, -86.69)",2497
20180835635_11,20180835635,D,DISPATCHED,O,OPEN,Open,10/2/2018 8:45,10/2/2018 9:25,MURFREESBORO PIKE,,,,13,"HIGHWAY, ROAD, ALLEY",1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Hispanic,RESIDENT,36.04,-86.61,"(36.04, -86.61)",3119
20180841156_11,20180841156,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,10/4/2018 1:43,10/4/2018 4:43,1600 BELL RD,37013,8719,331,14,"HOTEL, MOTEL, ETC.",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.045,-86.698,"(36.045, -86.698)",2478
20180836871_23,20180836871,D,DISPATCHED,A,CLEARED BY ARREST,Closed,10/2/2018 17:40,10/2/2018 19:31,2000 N GALLATIN PIKE,37115,1731,727,8,"DEPARTMENT, DISCOUNT STORE",2,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),3,No,I,INDIVIDUAL (18 AND OVER),M,B,Non-Hispanic,RESIDENT,36.301,-86.695,"(36.301, -86.695)",2434
20180841420_11,20180841420,D,DISPATCHED,A,CLEARED BY ARREST,Closed,10/4/2018 5:10,10/4/2018 7:41,200 DELLWAY VILLA RD,37207,1831,223,90,APARTMENT,1,13B,SIMPLE ASSLT - STRANGULATION (NO LOSS OF CONSCIOUSNESS),9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.213,-86.762,"(36.213, -86.762)",1884
20180840976_11,20180840976,D,DISPATCHED,A,CLEARED BY ARREST,Closed,10/3/2018 23:50,10/4/2018 1:11,1400 CHURCH ST,37203,5501,813,3,"BAR, NIGHT CLUB",1,13A,INTENTIONAL AGGRAVATED ASSAULT,7,CLUB,1,No,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,NON RESIDENT,36.158,-86.792,"(36.158, -86.792)",1641
20180833956_11,20180833956,D,DISPATCHED,O,OPEN,Open,10/1/2018 15:30,10/1/2018 17:34,CLARKSVILLE PIKE,,,,12,"GROCERY, SUPERMARKET",1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,1,No,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,NON RESIDENT,36.18,-86.82,"(36.18, -86.82)",1411
20180833481_11,20180833481,W,WITNESS,A,CLEARED BY ARREST,Closed,10/1/2018 13:00,10/1/2018 13:46,1200 2ND AVE S,37210,8167,311,53,School-Elementary/Secondary,1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,1,No,I,INDIVIDUAL (18 AND OVER),F,W,Hispanic,RESIDENT,36.145,-86.764,"(36.145, -86.764)",1896
20180835347_11,20180835347,D,DISPATCHED,A,CLEARED BY ARREST,Closed,10/2/2018 6:30,10/2/2018 8:07,3300 RAINWOOD DR,37207,2033,721,22,"RESIDENCE, HOME",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.243,-86.773,"(36.243, -86.773)",1814
